Time Stamp (ms),qw,qx,qy,qz
-6,0,0,0,0
35,0,0,0,0
61,0,0,0,0
95,0,0,0,0
129,0,0,0,0
163,0,0,0,0
196,0,0,0,0
229,0,0,0,0
264,0,0,0,0
297,0,0,0,0
330,0,0,0,0
364,0,0,0,0
398,0,0,0,0
432,0,0,0,0
465,0,0,0,0
498,0,0,0,0
533,0,0,0,0
565,0,0,0,0
599,0,0,0,0
633,0,0,0,0
666,0,0,0,0
701,0,0,0,0
734,0,0,0,0
768,0,0,0,0
801,0,0,0,0
835,0,0,0,0
869,0,0,0,0
902,0,0,0,0
935,0,0,0,0
969,0,0,0,0
1003,0,0,0,0
1038,0,0,0,0
1071,0,0,0,0
1104,0,0,0,0
1138,0,0,0,0
1172,0,0,0,0
1204,0,0,0,0
1239,0,0,0,0
1272,0,0,0,0
1306,0,0,0,0
1339,0,0,0,0
1373,0,0,0,0
1406,0,0,0,0
1441,0,0,0,0
1473,0,0,0,0
1505,0,0,0,0
1539,0,0,0,0
1572,0,0,0,0
1606,0,0,0,0
1639,0,0,0,0
1673,0,0,0,0
1706,0,0,0,0
1741,0,0,0,0
1773,0,0,0,0
1806,0,0,0,0
1840,0,0,0,0
1875,0,0,0,0
1908,0,0,0,0
1941,0,0,0,0
1975,0,0,0,0
2009,0,0,0,0
2042,0,0,0,0
2075,0,0,0,0
2109,0,0,0,0
2163,0,0,0,0
2177,0,0,0,0
2210,0,0,0,0
2253,0,0,0,0
2278,0,0,0,0
2313,0,0,0,0
2344,0,0,0,0
2378,0,0,0,0
2411,0,0,0,0
2444,0,0,0,0
2478,0,0,0,0
2512,0,0,0,0
2552,0,0,0,0
2579,0,0,0,0
2613,0,0,0,0
2647,0,0,0,0
2681,0,0,0,0
2713,0,0,0,0
2747,0,0,0,0
2780,0,0,0,0
2816,0,0,0,0
2848,0,0,0,0
2883,0,0,0,0
2915,0,0,0,0
2949,0,0,0,0
2983,0,0,0,0
3017,0,0,0,0
3051,0,0,0,0
3084,0,0,0,0
3116,0,0,0,0
3152,0,0,0,0
3185,0,0,0,0
3218,0,0,0,0
3252,0,0,0,0
3285,0,0,0,0
3318,0,0,0,0
3353,0,0,0,0
3386,0,0,0,0
3420,0,0,0,0
3453,0,0,0,0
3486,0,0,0,0
3521,0,0,0,0
3554,0,0,0,0
3588,0,0,0,0
3621,0,0,0,0
3655,0,0,0,0
3690,0,0,0,0
3723,0,0,0,0
3757,0,0,0,0
3791,0,0,0,0
3823,0,0,0,0
3857,0,0,0,0
3889,0,0,0,0
3924,0,0,0,0
3957,0,0,0,0
3990,0,0,0,0
4024,0,0,0,0
4057,0,0,0,0
4092,0,0,0,0
4124,0,0,0,0
4158,0,0,0,0
4193,0,0,0,0
4224,0,0,0,0
4258,0,0,0,0
4292,0,0,0,0
4325,0,0,0,0
4359,0,0,0,0
4392,0,0,0,0
4426,0,0,0,0
4459,0,0,0,0
4493,0,0,0,0
4526,0,0,0,0
4560,0,0,0,0
4593,0,0,0,0
4626,0,0,0,0
4660,0,0,0,0
4694,0,0,0,0
4728,0,0,0,0
4761,0,0,0,0
4795,0,0,0,0
4828,0,0,0,0
4862,0,0,0,0
4896,0,0,0,0
4930,0,0,0,0
4963,0,0,0,0
4996,0,0,0,0
5029,0,0,0,0
5064,0,0,0,0
5097,0,0,0,0
5131,0,0,0,0
5164,0,0,0,0
5198,0,0,0,0
5232,0,0,0,0
5265,0,0,0,0
5299,0,0,0,0
5331,0,0,0,0
5365,0,0,0,0
5399,0,0,0,0
5433,0,0,0,0
5466,0,0,0,0
5501,0,0,0,0
5533,0,0,0,0
5567,0,0,0,0
5601,0,0,0,0
5635,0,0,0,0
5670,0,0,0,0
5702,0,0,0,0
5736,0,0,0,0
5769,0,0,0,0
5803,0,0,0,0
5836,0,0,0,0
5870,0,0,0,0
5904,0,0,0,0
5937,0,0,0,0
5971,0,0,0,0
6005,0,0,0,0
6038,0,0,0,0
6073,0,0,0,0
