Time Stamp (ms),qw,qx,qy,qz
-3,0,0,0,0
36,0,0,0,0
65,0,0,0,0
98,0,0,0,0
132,0,0,0,0
164,0,0,0,0
199,0,0,0,0
232,0,0,0,0
265,0,0,0,0
299,0,0,0,0
333,0,0,0,0
367,0,0,0,0
401,0,0,0,0
435,0,0,0,0
467,0,0,0,0
501,0,0,0,0
535,0,0,0,0
568,0,0,0,0
602,0,0,0,0
635,0,0,0,0
669,0,0,0,0
703,0,0,0,0
736,0,0,0,0
771,0,0,0,0
804,0,0,0,0
838,0,0,0,0
871,0,0,0,0
904,0,0,0,0
938,0,0,0,0
971,0,0,0,0
1005,0,0,0,0
1040,0,0,0,0
1073,0,0,0,0
1107,0,0,0,0
1138,0,0,0,0
1175,0,0,0,0
1207,0,0,0,0
1241,0,0,0,0
1275,0,0,0,0
1308,0,0,0,0
1341,0,0,0,0
1376,0,0,0,0
1409,0,0,0,0
1440,0,0,0,0
1474,0,0,0,0
1507,0,0,0,0
1540,0,0,0,0
1574,0,0,0,0
1608,0,0,0,0
1642,0,0,0,0
1678,0,0,0,0
1709,0,0,0,0
1743,0,0,0,0
1776,0,0,0,0
1809,0,0,0,0
1842,0,0,0,0
1876,0,0,0,0
1910,0,0,0,0
1943,0,0,0,0
1976,0,0,0,0
2011,0,0,0,0
2044,0,0,0,0
2078,0,0,0,0
2112,0,0,0,0
2145,0,0,0,0
2179,0,0,0,0
2212,0,0,0,0
2246,0,0,0,0
2279,0,0,0,0
2312,0,0,0,0
2346,0,0,0,0
2380,0,0,0,0
2414,0,0,0,0
2446,0,0,0,0
2481,0,0,0,0
2515,0,0,0,0
2549,0,0,0,0
2582,0,0,0,0
2615,0,0,0,0
2649,0,0,0,0
2683,0,0,0,0
2716,0,0,0,0
2750,0,0,0,0
2784,0,0,0,0
2818,0,0,0,0
2851,0,0,0,0
2885,0,0,0,0
2918,0,0,0,0
2952,0,0,0,0
2985,0,0,0,0
3019,0,0,0,0
3053,0,0,0,0
3085,0,0,0,0
3119,0,0,0,0
3154,0,0,0,0
3188,0,0,0,0
3221,0,0,0,0
3256,0,0,0,0
3288,0,0,0,0
3322,0,0,0,0
3355,0,0,0,0
3389,0,0,0,0
3422,0,0,0,0
3457,0,0,0,0
3489,0,0,0,0
3523,0,0,0,0
3557,0,0,0,0
3590,0,0,0,0
3623,0,0,0,0
3657,0,0,0,0
3692,0,0,0,0
3725,0,0,0,0
3760,0,0,0,0
3794,0,0,0,0
3826,0,0,0,0
3859,0,0,0,0
3891,0,0,0,0
3925,0,0,0,0
3959,0,0,0,0
3992,0,0,0,0
4025,0,0,0,0
4060,0,0,0,0
4092,0,0,0,0
4128,0,0,0,0
4160,0,0,0,0
4194,0,0,0,0
4228,0,0,0,0
4260,0,0,0,0
4294,0,0,0,0
4328,0,0,0,0
4361,0,0,0,0
4394,0,0,0,0
4428,0,0,0,0
4461,0,0,0,0
4495,0,0,0,0
4529,0,0,0,0
4562,0,0,0,0
4596,0,0,0,0
4629,0,0,0,0
4665,0,0,0,0
4697,0,0,0,0
4730,0,0,0,0
4764,0,0,0,0
4797,0,0,0,0
4830,0,0,0,0
4865,0,0,0,0
4898,0,0,0,0
4931,0,0,0,0
4965,0,0,0,0
4999,0,0,0,0
5032,0,0,0,0
5065,0,0,0,0
5099,0,0,0,0
5133,0,0,0,0
5167,0,0,0,0
5199,0,0,0,0
5234,0,0,0,0
5268,0,0,0,0
5301,0,0,0,0
5335,0,0,0,0
5368,0,0,0,0
5402,0,0,0,0
5436,0,0,0,0
5469,0,0,0,0
5503,0,0,0,0
5537,0,0,0,0
5570,0,0,0,0
5605,0,0,0,0
5638,0,0,0,0
5671,0,0,0,0
5704,0,0,0,0
5738,0,0,0,0
5772,0,0,0,0
5805,0,0,0,0
5840,0,0,0,0
5872,0,0,0,0
5907,0,0,0,0
5940,0,0,0,0
5973,0,0,0,0
6008,0,0,0,0
6041,0,0,0,0
6074,0,0,0,0
6108,0,0,0,0
6141,0,0,0,0
6175,0,0,0,0
6208,0,0,0,0
6243,0,0,0,0
6277,0,0,0,0
6310,0,0,0,0
6344,0,0,0,0
6376,0,0,0,0
6410,0,0,0,0
6444,0,0,0,0
6478,0,0,0,0
6511,0,0,0,0
6545,0,0,0,0
6577,0,0,0,0
6611,0,0,0,0
6645,0,0,0,0
6678,0,0,0,0
6711,0,0,0,0
6745,0,0,0,0
6779,0,0,0,0
6812,0,0,0,0
6845,0,0,0,0
6879,0,0,0,0
6912,0,0,0,0
6946,0,0,0,0
6980,0,0,0,0
7013,0,0,0,0
7046,0,0,0,0
7081,0,0,0,0
7113,0,0,0,0
7147,0,0,0,0
7181,0,0,0,0
7215,0,0,0,0
7248,0,0,0,0
7282,0,0,0,0
7315,0,0,0,0
7349,0,0,0,0
7382,0,0,0,0
7417,0,0,0,0
7450,0,0,0,0
7482,0,0,0,0
7517,0,0,0,0
7550,0,0,0,0
7584,0,0,0,0
7618,0,0,0,0
7651,0,0,0,0
7684,0,0,0,0
7718,0,0,0,0
7751,0,0,0,0
7785,0,0,0,0
7818,0,0,0,0
7852,0,0,0,0
7887,0,0,0,0
7920,0,0,0,0
7953,0,0,0,0
7987,0,0,0,0
8021,0,0,0,0
8054,0,0,0,0
8088,0,0,0,0
8121,0,0,0,0
8155,0,0,0,0
8190,0,0,0,0
8223,0,0,0,0
8257,0,0,0,0
8291,0,0,0,0
8325,0,0,0,0
8357,0,0,0,0
8391,0,0,0,0
8424,0,0,0,0
8457,0,0,0,0
8492,0,0,0,0
8525,0,0,0,0
8558,0,0,0,0
8593,0,0,0,0
8626,0,0,0,0
8659,0,0,0,0
8693,0,0,0,0
8726,0,0,0,0
8760,0,0,0,0
8793,0,0,0,0
8827,0,0,0,0
8861,0,0,0,0
8896,0,0,0,0
8929,0,0,0,0
8963,0,0,0,0
8995,0,0,0,0
9030,0,0,0,0
9062,0,0,0,0
9097,0,0,0,0
9129,0,0,0,0
9164,0,0,0,0
9196,0,0,0,0
9231,0,0,0,0
9264,0,0,0,0
9297,0,0,0,0
9331,0,0,0,0
9364,0,0,0,0
9398,0,0,0,0
9432,0,0,0,0
9464,0,0,0,0
9499,0,0,0,0
9532,0,0,0,0
9565,0,0,0,0
9600,0,0,0,0
9632,0,0,0,0
9665,0,0,0,0
9700,0,0,0,0
9732,0,0,0,0
9766,0,0,0,0
9800,0,0,0,0
9833,0,0,0,0
9867,0,0,0,0
