Frame Number,Time Stamp (ms),Buffer Index
0,-3,0
1,36,0
2,65,0
3,98,0
4,132,0
5,164,0
6,199,0
7,232,0
8,265,0
9,299,0
10,333,0
11,367,0
12,401,0
13,435,0
14,467,0
15,501,0
16,535,0
17,568,0
18,602,0
19,635,0
20,669,0
21,703,0
22,736,0
23,771,0
24,804,0
25,838,0
26,871,0
27,904,0
28,938,0
29,971,0
30,1005,0
31,1040,0
32,1073,0
33,1107,0
34,1138,0
35,1175,0
36,1207,0
37,1241,0
38,1275,0
39,1308,0
40,1341,0
41,1376,0
42,1409,0
43,1440,0
44,1474,0
45,1507,0
46,1540,0
47,1574,0
48,1608,0
49,1642,0
50,1678,0
51,1709,0
52,1743,0
53,1776,0
54,1809,0
55,1842,0
56,1876,0
57,1910,0
58,1943,0
59,1976,0
60,2011,0
61,2044,0
62,2078,0
63,2112,0
64,2145,0
65,2179,0
66,2212,0
67,2246,0
68,2279,0
69,2312,0
70,2346,0
71,2380,0
72,2414,0
73,2446,0
74,2481,0
75,2515,0
76,2549,0
77,2582,0
78,2615,0
79,2649,0
80,2683,0
81,2716,0
82,2750,0
83,2784,0
84,2818,0
85,2851,0
86,2885,0
87,2918,0
88,2952,0
89,2985,0
90,3019,0
91,3053,0
92,3085,0
93,3119,0
94,3154,0
95,3188,0
96,3221,0
97,3256,0
98,3288,0
99,3322,0
100,3355,0
101,3389,0
102,3422,0
103,3457,0
104,3489,0
105,3523,0
106,3557,0
107,3590,0
108,3623,0
109,3657,0
110,3692,0
111,3725,0
112,3760,0
113,3794,0
114,3826,0
115,3859,0
116,3891,0
117,3925,0
118,3959,0
119,3992,0
120,4025,0
121,4060,0
122,4092,0
123,4128,0
124,4160,0
125,4194,0
126,4228,0
127,4260,0
128,4294,0
129,4328,0
130,4361,0
131,4394,0
132,4428,0
133,4461,0
134,4495,0
135,4529,0
136,4562,0
137,4596,0
138,4629,0
139,4665,0
140,4697,0
141,4730,0
142,4764,0
143,4797,0
144,4830,0
145,4865,0
146,4898,0
147,4931,0
148,4965,0
149,4999,0
150,5032,0
151,5065,0
152,5099,0
153,5133,0
154,5167,0
155,5199,0
156,5234,0
157,5268,0
158,5301,0
159,5335,0
160,5368,0
161,5402,0
162,5436,0
163,5469,0
164,5503,0
165,5537,0
166,5570,0
167,5605,0
168,5638,0
169,5671,0
170,5704,0
171,5738,0
172,5772,0
173,5805,0
174,5840,0
175,5872,0
176,5907,0
177,5940,0
178,5973,0
179,6008,0
180,6041,0
181,6074,0
182,6108,0
183,6141,0
184,6175,0
185,6208,0
186,6243,0
187,6277,0
188,6310,0
189,6344,0
190,6376,0
191,6410,0
192,6444,0
193,6478,0
194,6511,0
195,6545,0
196,6577,0
197,6611,0
198,6645,0
199,6678,0
