Time Stamp (ms),qw,qx,qy,qz
-32,0,0,0,0
6,0,0,0,0
35,0,0,0,0
69,0,0,0,0
102,0,0,0,0
135,0,0,0,0
169,0,0,0,0
203,0,0,0,0
236,0,0,0,0
270,0,0,0,0
304,0,0,0,0
337,0,0,0,0
371,0,0,0,0
404,0,0,0,0
439,0,0,0,0
472,0,0,0,0
504,0,0,0,0
538,0,0,0,0
572,0,0,0,0
605,0,0,0,0
639,0,0,0,0
672,0,0,0,0
706,0,0,0,0
740,0,0,0,0
773,0,0,0,0
806,0,0,0,0
839,0,0,0,0
873,0,0,0,0
906,0,0,0,0
941,0,0,0,0
974,0,0,0,0
1007,0,0,0,0
1041,0,0,0,0
1074,0,0,0,0
1108,0,0,0,0
1141,0,0,0,0
1176,0,0,0,0
1210,0,0,0,0
1244,0,0,0,0
1278,0,0,0,0
1310,0,0,0,0
1344,0,0,0,0
1377,0,0,0,0
1410,0,0,0,0
1444,0,0,0,0
1476,0,0,0,0
1510,0,0,0,0
1544,0,0,0,0
1578,0,0,0,0
1611,0,0,0,0
1645,0,0,0,0
1678,0,0,0,0
1715,0,0,0,0
1745,0,0,0,0
1779,0,0,0,0
1813,0,0,0,0
1846,0,0,0,0
1880,0,0,0,0
1914,0,0,0,0
1947,0,0,0,0
1980,0,0,0,0
2015,0,0,0,0
2048,0,0,0,0
2081,0,0,0,0
2115,0,0,0,0
2148,0,0,0,0
2182,0,0,0,0
2216,0,0,0,0
2250,0,0,0,0
2284,0,0,0,0
2317,0,0,0,0
2352,0,0,0,0
2384,0,0,0,0
2418,0,0,0,0
2451,0,0,0,0
2485,0,0,0,0
2519,0,0,0,0
2552,0,0,0,0
2586,0,0,0,0
2620,0,0,0,0
2653,0,0,0,0
2687,0,0,0,0
2721,0,0,0,0
2754,0,0,0,0
2787,0,0,0,0
2822,0,0,0,0
2855,0,0,0,0
2888,0,0,0,0
2922,0,0,0,0
2955,0,0,0,0
2989,0,0,0,0
3023,0,0,0,0
3057,0,0,0,0
3092,0,0,0,0
3124,0,0,0,0
3157,0,0,0,0
3192,0,0,0,0
3224,0,0,0,0
3258,0,0,0,0
3291,0,0,0,0
3324,0,0,0,0
3358,0,0,0,0
3391,0,0,0,0
3425,0,0,0,0
3459,0,0,0,0
3492,0,0,0,0
3526,0,0,0,0
3559,0,0,0,0
3592,0,0,0,0
3626,0,0,0,0
3660,0,0,0,0
3693,0,0,0,0
3728,0,0,0,0
3760,0,0,0,0
3794,0,0,0,0
3828,0,0,0,0
3861,0,0,0,0
3895,0,0,0,0
3928,0,0,0,0
3961,0,0,0,0
3995,0,0,0,0
4029,0,0,0,0
4062,0,0,0,0
4096,0,0,0,0
4129,0,0,0,0
4163,0,0,0,0
4196,0,0,0,0
4230,0,0,0,0
4264,0,0,0,0
4297,0,0,0,0
4331,0,0,0,0
4364,0,0,0,0
4398,0,0,0,0
4432,0,0,0,0
4466,0,0,0,0
4499,0,0,0,0
4533,0,0,0,0
4565,0,0,0,0
4599,0,0,0,0
4633,0,0,0,0
4666,0,0,0,0
4700,0,0,0,0
4734,0,0,0,0
4767,0,0,0,0
4801,0,0,0,0
4834,0,0,0,0
4868,0,0,0,0
4901,0,0,0,0
4935,0,0,0,0
4969,0,0,0,0
5003,0,0,0,0
5037,0,0,0,0
5070,0,0,0,0
5105,0,0,0,0
5138,0,0,0,0
5171,0,0,0,0
5204,0,0,0,0
5237,0,0,0,0
5271,0,0,0,0
5304,0,0,0,0
5339,0,0,0,0
5372,0,0,0,0
5407,0,0,0,0
5440,0,0,0,0
5473,0,0,0,0
5507,0,0,0,0
5541,0,0,0,0
5574,0,0,0,0
5608,0,0,0,0
5641,0,0,0,0
5675,0,0,0,0
5709,0,0,0,0
5743,0,0,0,0
5776,0,0,0,0
5809,0,0,0,0
5844,0,0,0,0
5876,0,0,0,0
5911,0,0,0,0
5943,0,0,0,0
5977,0,0,0,0
6010,0,0,0,0
6044,0,0,0,0
6078,0,0,0,0
6111,0,0,0,0
6145,0,0,0,0
6178,0,0,0,0
6212,0,0,0,0
6245,0,0,0,0
6277,0,0,0,0
6312,0,0,0,0
6345,0,0,0,0
6378,0,0,0,0
6412,0,0,0,0
6446,0,0,0,0
6479,0,0,0,0
6514,0,0,0,0
6546,0,0,0,0
6580,0,0,0,0
6613,0,0,0,0
6647,0,0,0,0
6681,0,0,0,0
6714,0,0,0,0
6748,0,0,0,0
6781,0,0,0,0
6814,0,0,0,0
6849,0,0,0,0
6882,0,0,0,0
6916,0,0,0,0
6950,0,0,0,0
6982,0,0,0,0
7017,0,0,0,0
7049,0,0,0,0
7083,0,0,0,0
7117,0,0,0,0
7150,0,0,0,0
7184,0,0,0,0
7218,0,0,0,0
7251,0,0,0,0
7284,0,0,0,0
7319,0,0,0,0
7352,0,0,0,0
7386,0,0,0,0
7419,0,0,0,0
7453,0,0,0,0
7488,0,0,0,0
7520,0,0,0,0
7554,0,0,0,0
7587,0,0,0,0
7622,0,0,0,0
7656,0,0,0,0
7689,0,0,0,0
7723,0,0,0,0
7756,0,0,0,0
7790,0,0,0,0
7824,0,0,0,0
7857,0,0,0,0
7891,0,0,0,0
7924,0,0,0,0
7957,0,0,0,0
7992,0,0,0,0
8025,0,0,0,0
8058,0,0,0,0
8093,0,0,0,0
8127,0,0,0,0
8160,0,0,0,0
8193,0,0,0,0
8226,0,0,0,0
8260,0,0,0,0
8293,0,0,0,0
8327,0,0,0,0
8360,0,0,0,0
8395,0,0,0,0
8427,0,0,0,0
8463,0,0,0,0
8494,0,0,0,0
8529,0,0,0,0
8563,0,0,0,0
8596,0,0,0,0
8629,0,0,0,0
8664,0,0,0,0
8696,0,0,0,0
8730,0,0,0,0
8764,0,0,0,0
8796,0,0,0,0
8830,0,0,0,0
8863,0,0,0,0
8897,0,0,0,0
8930,0,0,0,0
8964,0,0,0,0
8997,0,0,0,0
9031,0,0,0,0
9064,0,0,0,0
9098,0,0,0,0
9131,0,0,0,0
9165,0,0,0,0
