Time Stamp (ms),qw,qx,qy,qz
-5,0,0,0,0
36,0,0,0,0
63,0,0,0,0
96,0,0,0,0
130,0,0,0,0
163,0,0,0,0
198,0,0,0,0
232,0,0,0,0
267,2.27897e+14,1.4013e-45,0,0
299,8192,3.76669e-42,0,-1.18086e-24
332,4.23726e+35,3.45249e-32,6.88962e-41,nan
366,3.61037e+28,0,214.326,0
398,0,0,0,0
432,0,0,0,0
466,0,2.27897e+14,1.4013e-45,0
500,2.69049e-43,8192,0,0
533,-4.1751e-27,-5.47351e+20,-7.5892e+36,3.15867e-41
568,309.12,-3.82346e-12,0,214.326
602,0,0,0,0
635,0,0,0,0
668,0,0,0,0
701,0,0,0,0
735,0,0,0,0
768,0,0,0,0
802,0,0,0,0
835,0,0,0,0
870,0,0,0,0
902,0,0,0,0
936,0,0,0,0
971,0,0,0,0
1004,0,0,0,0
1038,0,0,0,0
1071,0,0,0,0
1105,0,0,0,0
1138,0,0,0,0
1172,0,0,0,0
1206,0,0,0,0
1239,0,0,0,0
1272,0,0,0,0
1310,0,0,0,0
1342,0,0,0,0
1376,0,0,0,0
1409,0,0,0,0
1442,0,0,0,0
1475,0,0,0,0
1508,0,0,0,0
1541,0,0,0,0
1573,0,0,0,0
1607,0,0,0,0
1643,0,0,0,0
1675,0,0,0,0
1707,0,0,0,0
1741,0,0,0,0
1775,0,0,0,0
1808,0,0,0,0
1842,0,0,0,0
1875,0,0,0,0
1909,0,0,0,0
1942,0,0,0,0
1976,0,0,0,0
2011,0,0,0,0
2044,0,0,0,0
2076,0,0,0,0
2110,0,0,0,0
2144,0,0,0,0
2177,0,0,0,0
2211,0,0,0,0
2245,0,0,0,0
2279,0,0,0,0
2311,0,0,0,0
2346,0,0,0,0
2378,0,0,0,0
2412,0,0,0,0
2445,0,0,0,0
2479,0,0,0,0
2513,0,0,0,0
2546,0,0,0,0
2580,0,0,0,0
2614,0,0,0,0
2647,0,0,0,0
2681,0,0,0,0
2714,0,0,0,0
2749,0,0,0,0
2783,0,0,0,0
2816,0,0,0,0
2849,0,0,0,0
2883,0,0,0,0
2917,0,0,0,0
2951,0,0,0,0
2984,0,0,0,0
3018,0,0,0,0
3051,0,0,0,0
3085,0,0,0,0
