Time Stamp (ms),qw,qx,qy,qz
-5,0,0,0,0
35,0,0,0,0
63,0,0,0,0
95,0,0,0,0
128,0,0,0,0
162,0,0,0,0
196,0,0,0,0
230,0,0,0,0
263,0,0,0,0
297,0,0,0,0
331,0,0,0,0
364,0,0,0,0
398,0,0,0,0
432,0,0,0,0
466,0,0,0,0
498,0,0,0,0
533,0,0,0,0
565,0,0,0,0
599,0,0,0,0
634,0,0,0,0
667,0,0,0,0
701,0,0,0,0
735,0,0,0,0
768,0,0,0,0
801,0,0,0,0
835,0,0,0,0
868,0,0,0,0
902,0,0,0,0
935,0,0,0,0
969,0,0,0,0
1002,0,0,0,0
1037,0,0,0,0
1070,0,0,0,0
1105,0,0,0,0
1138,0,0,0,0
1171,0,0,0,0
1204,0,0,0,0
1237,0,0,0,0
1271,0,0,0,0
1303,0,0,0,0
1339,0,0,0,0
1371,0,0,0,0
1407,0,0,0,0
1439,0,0,0,0
1474,0,0,0,0
1507,0,0,0,0
1541,0,0,0,0
1574,0,0,0,0
1605,0,0,0,0
1638,0,0,0,0
1672,0,0,0,0
1706,0,0,0,0
1740,0,0,0,0
1773,0,0,0,0
1807,0,0,0,0
1841,0,0,0,0
1874,0,0,0,0
1908,0,0,0,0
1941,0,0,0,0
1974,0,0,0,0
2008,0,0,0,0
2041,0,0,0,0
2075,0,0,0,0
2109,0,0,0,0
2143,0,0,0,0
2176,0,0,0,0
2210,0,0,0,0
2244,0,0,0,0
2277,0,0,0,0
2311,0,0,0,0
2344,0,0,0,0
2377,0,0,0,0
2412,0,0,0,0
2444,0,0,0,0
2478,0,0,0,0
2512,0,0,0,0
2548,0,0,0,0
2580,0,0,0,0
2613,0,0,0,0
2648,0,0,0,0
2681,0,0,0,0
2715,0,0,0,0
2748,0,0,0,0
2781,0,0,0,0
2815,0,0,0,0
2849,0,0,0,0
2882,0,0,0,0
2916,0,0,0,0
2949,0,0,0,0
2984,0,0,0,0
3017,0,0,0,0
3051,0,0,0,0
3084,0,0,0,0
3117,0,0,0,0
3150,0,0,0,0
3185,0,0,0,0
3218,0,0,0,0
3252,0,0,0,0
3286,0,0,0,0
3319,0,0,0,0
3353,0,0,0,0
3388,0,0,0,0
3421,0,0,0,0
3454,0,0,0,0
3486,0,0,0,0
3520,0,0,0,0
3554,0,0,0,0
3588,0,0,0,0
3622,0,0,0,0
3654,0,0,0,0
3688,0,0,0,0
3722,0,0,0,0
3756,0,0,0,0
3789,0,0,0,0
3823,0,0,0,0
3855,0,0,0,0
3890,0,0,0,0
3922,0,0,0,0
3956,0,0,0,0
3990,0,0,0,0
4023,0,0,0,0
4056,0,0,0,0
4091,0,0,0,0
4124,0,0,0,0
4157,0,0,0,0
4191,0,0,0,0
4224,0,0,0,0
4257,0,0,0,0
4291,0,0,0,0
4324,0,0,0,0
4359,0,0,0,0
4392,0,0,0,0
4425,0,0,0,0
4459,0,0,0,0
4493,0,0,0,0
4527,0,0,0,0
4560,0,0,0,0
4594,0,0,0,0
4627,0,0,0,0
4660,0,0,0,0
4694,0,0,0,0
4728,0,0,0,0
4761,0,0,0,0
4795,0,0,0,0
4828,0,0,0,0
4862,0,0,0,0
4896,0,0,0,0
4929,0,0,0,0
4963,0,0,0,0
4997,0,0,0,0
5029,0,0,0,0
5063,0,0,0,0
5097,0,0,0,0
5130,0,0,0,0
5164,0,0,0,0
5198,0,0,0,0
5232,0,0,0,0
5266,0,0,0,0
5300,0,0,0,0
5333,0,0,0,0
5366,0,0,0,0
5399,0,0,0,0
5433,0,0,0,0
5467,0,0,0,0
5501,0,0,0,0
5535,0,0,0,0
5568,0,0,0,0
5602,0,0,0,0
5636,0,0,0,0
5669,0,0,0,0
5703,0,0,0,0
5735,0,0,0,0
5769,0,0,0,0
5803,0,0,0,0
5836,0,0,0,0
5870,0,0,0,0
5904,0,0,0,0
5937,0,0,0,0
5973,0,0,0,0
6005,0,0,0,0
6040,0,0,0,0
6074,0,0,0,0
6105,0,0,0,0
6139,0,0,0,0
6172,0,0,0,0
6210,0,0,0,0
6240,0,0,0,0
6273,0,0,0,0
6307,0,0,0,0
6341,0,0,0,0
6375,0,0,0,0
6409,0,0,0,0
6442,0,0,0,0
6473,0,0,0,0
6508,0,0,0,0
6541,0,0,0,0
6575,0,0,0,0
6608,0,0,0,0
6641,0,0,0,0
6675,0,0,0,0
6709,0,0,0,0
6742,0,0,0,0
6776,0,0,0,0
6810,0,0,0,0
6843,0,0,0,0
6876,0,0,0,0
6909,0,0,0,0
6943,0,0,0,0
6977,0,0,0,0
7010,0,0,0,0
7044,0,0,0,0
7078,0,0,0,0
7111,0,0,0,0
7146,0,0,0,0
7179,0,0,0,0
7212,0,0,0,0
7245,0,0,0,0
7278,0,0,0,0
7313,0,0,0,0
7347,0,0,0,0
7380,0,0,0,0
7413,0,0,0,0
7447,0,0,0,0
7482,0,0,0,0
7514,0,0,0,0
7549,0,0,0,0
7581,0,0,0,0
7615,0,0,0,0
7648,0,0,0,0
7682,0,0,0,0
7716,0,0,0,0
7749,0,0,0,0
7783,0,0,0,0
7816,0,0,0,0
7850,0,0,0,0
7885,0,0,0,0
7917,0,0,0,0
7952,0,0,0,0
7985,0,0,0,0
8018,0,0,0,0
8052,0,0,0,0
8085,0,0,0,0
8120,0,0,0,0
8154,0,0,0,0
8187,0,0,0,0
8221,0,0,0,0
8254,0,0,0,0
8288,0,0,0,0
8321,0,0,0,0
8355,0,0,0,0
8388,0,0,0,0
8421,0,0,0,0
8455,0,0,0,0
8490,0,0,0,0
8523,0,0,0,0
8556,0,0,0,0
8590,0,0,0,0
8624,0,0,0,0
8657,0,0,0,0
8691,0,0,0,0
8724,0,0,0,0
8759,0,0,0,0
8792,0,0,0,0
8825,0,0,0,0
8859,0,0,0,0
8893,0,0,0,0
8926,0,0,0,0
8960,0,0,0,0
8994,0,0,0,0
9027,0,0,0,0
9060,0,0,0,0
9093,0,0,0,0
9127,0,0,0,0
9160,0,0,0,0
9193,0,0,0,0
9227,0,0,0,0
9261,0,0,0,0
9295,0,0,0,0
9328,0,0,0,0
9362,0,0,0,0
9395,0,0,0,0
9429,0,0,0,0
9461,0,0,0,0
9495,0,0,0,0
9529,0,0,0,0
9562,0,0,0,0
9596,0,0,0,0
9629,0,0,0,0
9663,0,0,0,0
9697,0,0,0,0
9730,0,0,0,0
9764,0,0,0,0
9798,0,0,0,0
9830,0,0,0,0
9864,0,0,0,0
9898,0,0,0,0
9931,0,0,0,0
9965,0,0,0,0
9999,0,0,0,0
10033,0,0,0,0
10066,0,0,0,0
10099,0,0,0,0
10134,0,0,0,0
10167,0,0,0,0
10201,0,0,0,0
10233,0,0,0,0
10267,0,0,0,0
10301,0,0,0,0
10334,0,0,0,0
10368,0,0,0,0
10401,0,0,0,0
10435,0,0,0,0
10470,0,0,0,0
10502,0,0,0,0
10536,0,0,0,0
10570,0,0,0,0
10603,0,0,0,0
10636,0,0,0,0
10671,0,0,0,0
10704,0,0,0,0
10747,0,0,0,0
10787,0,0,0,0
10807,0,0,0,0
10840,0,0,0,0
10873,0,0,0,0
10906,0,0,0,0
10940,0,0,0,0
10974,0,0,0,0
11007,0,0,0,0
11041,0,0,0,0
11075,0,0,0,0
11110,0,0,0,0
11142,0,0,0,0
11176,0,0,0,0
11211,0,0,0,0
11242,0,0,0,0
11276,0,0,0,0
11309,0,0,0,0
11343,0,0,0,0
11377,0,0,0,0
11411,0,0,0,0
11444,0,0,0,0
11478,0,0,0,0
11512,0,0,0,0
11545,0,0,0,0
11578,0,0,0,0
11613,0,0,0,0
11646,0,0,0,0
11678,0,0,0,0
11713,0,0,0,0
11745,0,0,0,0
11780,0,0,0,0
11813,0,0,0,0
11846,0,0,0,0
11881,0,0,0,0
11914,0,0,0,0
11946,0,0,0,0
11980,0,0,0,0
12014,0,0,0,0
12047,0,0,0,0
12081,0,0,0,0
12114,0,0,0,0
12147,0,0,0,0
12181,0,0,0,0
12214,0,0,0,0
12249,0,0,0,0
12283,0,0,0,0
12315,0,0,0,0
12350,0,0,0,0
12383,0,0,0,0
12416,0,0,0,0
12450,0,0,0,0
12483,0,0,0,0
12516,0,0,0,0
12550,0,0,0,0
12583,0,0,0,0
12618,0,0,0,0
12652,0,0,0,0
12685,0,0,0,0
12718,0,0,0,0
12752,0,0,0,0
12785,0,0,0,0
12819,0,0,0,0
12853,0,0,0,0
12885,0,0,0,0
12919,0,0,0,0
12953,0,0,0,0
12986,0,0,0,0
13021,0,0,0,0
13054,0,0,0,0
13087,0,0,0,0
13121,0,0,0,0
13155,0,0,0,0
13189,0,0,0,0
13222,0,0,0,0
13255,0,0,0,0
