Time Stamp (ms),qw,qx,qy,qz
-8,0,0,0,0
33,0,0,0,0
58,0,0,0,0
92,0,0,0,0
126,0,0,0,0
160,0,0,0,0
193,0,0,0,0
227,0,0,0,0
260,0,0,0,0
294,0,0,0,0
328,0,0,0,0
362,0,0,0,0
394,0,0,0,0
428,0,0,0,0
462,0,0,0,0
496,0,0,0,0
530,0,0,0,0
563,0,0,0,0
597,0,0,0,0
630,0,0,0,0
664,0,0,0,0
697,0,0,0,0
731,0,0,0,0
765,0,0,0,0
798,0,0,0,0
832,0,0,0,0
867,0,0,0,0
900,0,0,0,0
934,0,0,0,0
966,0,0,0,0
1000,0,0,0,0
1036,0,0,0,0
1069,0,0,0,0
1102,0,0,0,0
1135,0,0,0,0
1169,0,0,0,0
1202,0,0,0,0
1235,0,0,0,0
1267,0,0,0,0
1304,0,0,0,0
1335,0,0,0,0
1371,0,0,0,0
1403,0,0,0,0
1437,0,0,0,0
1471,0,0,0,0
1504,0,0,0,0
1536,0,0,0,0
1569,0,0,0,0
1603,0,0,0,0
1636,0,0,0,0
1670,0,0,0,0
1704,0,0,0,0
1736,0,0,0,0
1770,0,0,0,0
1803,0,0,0,0
1838,0,0,0,0
1871,0,0,0,0
1904,0,0,0,0
1939,0,0,0,0
1972,0,0,0,0
2005,0,0,0,0
2039,0,0,0,0
2073,0,0,0,0
2106,0,0,0,0
2140,0,0,0,0
2173,0,0,0,0
2207,0,0,0,0
2241,0,0,0,0
2274,0,0,0,0
2308,0,0,0,0
2342,0,0,0,0
2375,0,0,0,0
2408,0,0,0,0
2442,0,0,0,0
2475,0,0,0,0
2509,0,0,0,0
2542,0,0,0,0
2577,0,0,0,0
2610,0,0,0,0
2643,0,0,0,0
2678,0,0,0,0
2712,0,0,0,0
2744,0,0,0,0
2779,0,0,0,0
2812,0,0,0,0
2845,0,0,0,0
2879,0,0,0,0
2912,0,0,0,0
2946,0,0,0,0
2980,0,0,0,0
3014,0,0,0,0
3047,0,0,0,0
3081,0,0,0,0
3114,0,0,0,0
3148,0,0,0,0
3181,0,0,0,0
3215,0,0,0,0
3248,0,0,0,0
3282,0,0,0,0
3315,0,0,0,0
3349,0,0,0,0
3383,0,0,0,0
3417,0,0,0,0
3450,0,0,0,0
3484,0,0,0,0
3518,0,0,0,0
3551,0,0,0,0
3585,0,0,0,0
3620,0,0,0,0
3652,0,0,0,0
3685,0,0,0,0
3719,0,0,0,0
3753,0,0,0,0
3785,0,0,0,0
3820,0,0,0,0
3853,0,0,0,0
3888,0,0,0,0
3920,0,0,0,0
3954,0,0,0,0
3987,0,0,0,0
4021,0,0,0,0
4054,0,0,0,0
4090,0,0,0,0
4122,0,0,0,0
4155,0,0,0,0
4188,0,0,0,0
4221,0,0,0,0
4257,0,0,0,0
4288,0,0,0,0
4322,0,0,0,0
4355,0,0,0,0
4390,0,0,0,0
4423,0,0,0,0
4456,0,0,0,0
4490,0,0,0,0
4524,0,0,0,0
4556,0,0,0,0
4591,0,0,0,0
4625,0,0,0,0
4658,0,0,0,0
4692,0,0,0,0
4725,0,0,0,0
4758,0,0,0,0
4792,0,0,0,0
4825,0,0,0,0
4859,0,0,0,0
4893,0,0,0,0
4926,0,0,0,0
4959,0,0,0,0
4993,0,0,0,0
5027,0,0,0,0
5061,0,0,0,0
5095,0,0,0,0
5128,0,0,0,0
5161,0,0,0,0
5194,0,0,0,0
5229,0,0,0,0
5262,0,0,0,0
5295,0,0,0,0
5330,0,0,0,0
5363,0,0,0,0
5397,0,0,0,0
5431,0,0,0,0
5464,0,0,0,0
5497,0,0,0,0
5531,0,0,0,0
5565,0,0,0,0
5599,0,0,0,0
5633,0,0,0,0
5666,0,0,0,0
5700,0,0,0,0
5733,0,0,0,0
5766,0,0,0,0
5800,0,0,0,0
5833,0,0,0,0
5867,0,0,0,0
5901,0,0,0,0
5935,0,0,0,0
5968,0,0,0,0
6003,0,0,0,0
6035,0,0,0,0
6070,0,0,0,0
6104,0,0,0,0
6136,0,0,0,0
6169,0,0,0,0
6203,0,0,0,0
6237,0,0,0,0
6271,0,0,0,0
6305,0,0,0,0
6338,0,0,0,0
6373,0,0,0,0
6406,0,0,0,0
6439,0,0,0,0
6473,0,0,0,0
6506,0,0,0,0
6539,0,0,0,0
6572,0,0,0,0
6605,0,0,0,0
6640,0,0,0,0
6673,0,0,0,0
6707,0,0,0,0
6740,0,0,0,0
6774,0,0,0,0
6807,0,0,0,0
6840,0,0,0,0
6874,0,0,0,0
6907,0,0,0,0
6941,0,0,0,0
6974,0,0,0,0
7008,0,0,0,0
7041,0,0,0,0
7076,0,0,0,0
7108,0,0,0,0
7142,0,0,0,0
7175,0,0,0,0
7209,0,0,0,0
7243,0,0,0,0
7276,0,0,0,0
7310,0,0,0,0
7343,0,0,0,0
7377,0,0,0,0
7411,0,0,0,0
7445,0,0,0,0
7477,0,0,0,0
7512,0,0,0,0
7544,0,0,0,0
7579,0,0,0,0
7612,0,0,0,0
7646,0,0,0,0
7679,0,0,0,0
7713,0,0,0,0
7746,0,0,0,0
7781,0,0,0,0
7814,0,0,0,0
7847,0,0,0,0
7881,0,0,0,0
7914,0,0,0,0
7948,0,0,0,0
7981,0,0,0,0
8016,0,0,0,0
8049,0,0,0,0
8082,0,0,0,0
8116,0,0,0,0
8150,0,0,0,0
8184,0,0,0,0
8217,0,0,0,0
8251,0,0,0,0
8285,0,0,0,0
8318,0,0,0,0
8352,0,0,0,0
8385,0,0,0,0
8419,0,0,0,0
8452,0,0,0,0
8486,0,0,0,0
8520,0,0,0,0
8554,0,0,0,0
8586,0,0,0,0
8620,0,0,0,0
8654,0,0,0,0
8688,0,0,0,0
8722,0,0,0,0
8755,0,0,0,0
8788,0,0,0,0
8823,0,0,0,0
8856,0,0,0,0
8889,0,0,0,0
8923,0,0,0,0
8958,0,0,0,0
8990,0,0,0,0
9024,0,0,0,0
9057,0,0,0,0
9091,0,0,0,0
9124,0,0,0,0
9157,0,0,0,0
9191,0,0,0,0
9225,0,0,0,0
9259,0,0,0,0
9292,0,0,0,0
9326,0,0,0,0
9359,0,0,0,0
9392,0,0,0,0
9426,0,0,0,0
9459,0,0,0,0
9493,0,0,0,0
9527,0,0,0,0
9560,0,0,0,0
9593,0,0,0,0
9627,0,0,0,0
9661,0,0,0,0
9693,0,0,0,0
9728,0,0,0,0
9760,0,0,0,0
9794,0,0,0,0
9828,0,0,0,0
9862,0,0,0,0
9896,0,0,0,0
9928,0,0,0,0
9962,0,0,0,0
9996,0,0,0,0
10030,0,0,0,0
10063,0,0,0,0
10109,0,0,0,0
10138,0,0,0,0
10166,0,0,0,0
10199,0,0,0,0
10231,0,0,0,0
10265,0,0,0,0
10298,0,0,0,0
10332,0,0,0,0
10366,0,0,0,0
10413,0,0,0,0
10432,0,0,0,0
10466,0,0,0,0
10500,0,0,0,0
10534,0,0,0,0
10567,0,0,0,0
10600,0,0,0,0
10634,0,0,0,0
10668,0,0,0,0
10702,0,0,0,0
10735,0,0,0,0
10768,0,0,0,0
10802,0,0,0,0
10836,0,0,0,0
10869,0,0,0,0
10903,0,0,0,0
10936,0,0,0,0
10970,0,0,0,0
11004,0,0,0,0
11038,0,0,0,0
11072,0,0,0,0
11105,0,0,0,0
11139,0,0,0,0
11173,0,0,0,0
11206,0,0,0,0
11239,0,0,0,0
11272,0,0,0,0
11306,0,0,0,0
11340,0,0,0,0
11373,0,0,0,0
11407,0,0,0,0
11441,0,0,0,0
11475,0,0,0,0
11509,0,0,0,0
11542,0,0,0,0
11576,0,0,0,0
11609,0,0,0,0
11642,0,0,0,0
11676,0,0,0,0
11709,0,0,0,0
11744,0,0,0,0
11777,0,0,0,0
11810,0,0,0,0
11844,0,0,0,0
11878,0,0,0,0
11911,0,0,0,0
11945,0,0,0,0
11978,0,0,0,0
12011,0,0,0,0
12044,0,0,0,0
12079,0,0,0,0
12112,0,0,0,0
12146,0,0,0,0
12180,0,0,0,0
12212,0,0,0,0
12246,0,0,0,0
12280,0,0,0,0
12313,0,0,0,0
12346,0,0,0,0
12380,0,0,0,0
12414,0,0,0,0
12447,0,0,0,0
12481,0,0,0,0
12514,0,0,0,0
12548,0,0,0,0
12581,0,0,0,0
12614,0,0,0,0
12648,0,0,0,0
12682,0,0,0,0
12715,0,0,0,0
12749,0,0,0,0
12782,0,0,0,0
12816,0,0,0,0
12849,0,0,0,0
12883,0,0,0,0
12916,0,0,0,0
12950,0,0,0,0
12984,0,0,0,0
13017,0,0,0,0
13050,0,0,0,0
13084,0,0,0,0
13119,0,0,0,0
13152,0,0,0,0
13185,0,0,0,0
13219,0,0,0,0
13253,0,0,0,0
13286,0,0,0,0
13319,0,0,0,0
13353,0,0,0,0
13387,0,0,0,0
13421,0,0,0,0
13454,0,0,0,0
13488,0,0,0,0
13522,0,0,0,0
13554,0,0,0,0
13589,0,0,0,0
13622,0,0,0,0
13656,0,0,0,0
13689,0,0,0,0
13723,0,0,0,0
13757,0,0,0,0
13791,0,0,0,0
13824,0,0,0,0
13857,0,0,0,0
13892,0,0,0,0
13925,0,0,0,0
13959,0,0,0,0
13992,0,0,0,0
14026,0,0,0,0
14060,0,0,0,0
14094,0,0,0,0
14127,0,0,0,0
14160,0,0,0,0
14193,0,0,0,0
14228,0,0,0,0
14261,0,0,0,0
14294,0,0,0,0
14328,0,0,0,0
14362,0,0,0,0
14396,0,0,0,0
14429,0,0,0,0
14462,0,0,0,0
14498,0,0,0,0
14531,0,0,0,0
14565,0,0,0,0
14597,0,0,0,0
14630,0,0,0,0
14663,0,0,0,0
14697,0,0,0,0
14731,0,0,0,0
14765,0,0,0,0
14798,0,0,0,0
14831,0,0,0,0
14865,0,0,0,0
14899,0,0,0,0
14932,0,0,0,0
14965,0,0,0,0
14998,0,0,0,0
15032,0,0,0,0
15066,0,0,0,0
15099,0,0,0,0
15133,0,0,0,0
15167,0,0,0,0
15200,0,0,0,0
15233,0,0,0,0
15267,0,0,0,0
