Frame Number,Time Stamp (ms),Buffer Index
0,-8,0
1,33,0
2,58,0
3,92,0
4,126,0
5,160,0
6,193,0
7,227,0
8,260,0
9,294,0
10,328,0
11,362,0
12,394,0
13,428,0
14,462,0
15,496,0
16,530,0
17,563,0
18,597,0
19,630,0
20,664,0
21,697,0
22,731,0
23,765,0
24,798,0
25,832,0
26,867,0
27,900,0
28,934,0
29,966,0
30,1000,0
31,1036,0
32,1069,0
33,1102,0
34,1135,0
35,1169,0
36,1202,0
37,1235,0
38,1267,0
39,1304,0
40,1335,0
41,1371,0
42,1403,0
43,1437,0
44,1471,0
45,1504,0
46,1536,0
47,1569,0
48,1603,0
49,1636,0
50,1670,0
51,1704,0
52,1736,0
53,1770,0
54,1803,0
55,1838,0
56,1871,0
57,1904,0
58,1939,0
59,1972,0
60,2005,0
61,2039,0
62,2073,0
63,2106,0
64,2140,0
65,2173,0
66,2207,0
67,2241,0
68,2274,0
69,2308,0
70,2342,0
71,2375,0
72,2408,0
73,2442,0
74,2475,0
75,2509,0
76,2542,0
77,2577,0
78,2610,0
79,2643,0
80,2678,0
81,2712,0
82,2744,0
83,2779,0
84,2812,0
85,2845,0
86,2879,0
87,2912,0
88,2946,0
89,2980,0
90,3014,0
91,3047,0
92,3081,0
93,3114,0
94,3148,0
95,3181,0
96,3215,0
97,3248,0
98,3282,0
99,3315,0
100,3349,0
101,3383,0
102,3417,0
103,3450,0
104,3484,0
105,3518,0
106,3551,0
107,3585,0
108,3620,0
109,3652,0
110,3685,0
111,3719,0
112,3753,0
113,3785,0
114,3820,0
115,3853,0
116,3888,0
117,3920,0
118,3954,0
119,3987,0
120,4021,0
121,4054,0
122,4090,0
123,4122,0
124,4155,0
125,4188,0
126,4221,0
127,4257,0
128,4288,0
129,4322,0
130,4355,0
131,4390,0
132,4423,0
133,4456,0
134,4490,0
135,4524,0
136,4556,0
137,4591,0
138,4625,0
139,4658,0
140,4692,0
141,4725,0
142,4758,0
143,4792,0
144,4825,0
145,4859,0
146,4893,0
147,4926,0
148,4959,0
149,4993,0
150,5027,0
151,5061,0
152,5095,0
153,5128,0
154,5161,0
155,5194,0
156,5229,0
157,5262,0
158,5295,0
159,5330,0
160,5363,0
161,5397,0
162,5431,0
163,5464,0
164,5497,0
165,5531,0
166,5565,0
167,5599,0
168,5633,0
169,5666,0
170,5700,0
171,5733,0
172,5766,0
173,5800,0
174,5833,0
175,5867,0
176,5901,0
177,5935,0
178,5968,0
179,6003,0
180,6035,0
181,6070,0
182,6104,0
183,6136,0
184,6169,0
185,6203,0
186,6237,0
187,6271,0
188,6305,0
189,6338,0
190,6373,0
191,6406,0
192,6439,0
193,6473,0
194,6506,0
195,6539,0
196,6572,0
197,6605,0
198,6640,0
199,6673,0
200,6707,0
201,6740,0
202,6774,0
203,6807,0
204,6840,0
205,6874,0
206,6907,0
207,6941,0
208,6974,0
209,7008,0
210,7041,0
211,7076,0
212,7108,0
213,7142,0
214,7175,0
215,7209,0
216,7243,0
217,7276,0
218,7310,0
219,7343,0
220,7377,0
221,7411,0
222,7445,0
223,7477,0
224,7512,0
225,7544,0
226,7579,0
227,7612,0
228,7646,0
229,7679,0
230,7713,0
231,7746,0
232,7781,0
233,7814,0
234,7847,0
235,7881,0
236,7914,0
237,7948,0
238,7981,0
239,8016,0
240,8049,0
241,8082,0
242,8116,0
243,8150,0
244,8184,0
245,8217,0
246,8251,0
247,8285,0
248,8318,0
249,8352,0
250,8385,0
251,8419,0
252,8452,0
253,8486,0
254,8520,0
255,8554,0
256,8586,0
257,8620,0
258,8654,0
259,8688,0
260,8722,0
261,8755,0
262,8788,0
263,8823,0
264,8856,0
265,8889,0
266,8923,0
267,8958,0
268,8990,0
269,9024,0
270,9057,0
271,9091,0
272,9124,0
273,9157,0
274,9191,0
275,9225,0
276,9259,0
277,9292,0
278,9326,0
279,9359,0
280,9392,0
281,9426,0
282,9459,0
283,9493,0
284,9527,0
285,9560,0
286,9593,0
287,9627,0
288,9661,0
289,9693,0
290,9728,0
291,9760,0
292,9794,0
293,9828,0
294,9862,0
295,9896,0
296,9928,0
297,9962,0
298,9996,0
299,10030,0
300,10063,0
301,10109,0
302,10138,0
303,10166,0
304,10199,0
305,10231,0
306,10265,0
307,10298,0
308,10332,0
309,10366,0
310,10413,0
311,10432,0
312,10466,0
313,10500,0
314,10534,0
315,10567,0
316,10600,0
317,10634,0
318,10668,0
319,10702,0
320,10735,0
321,10768,0
322,10802,0
323,10836,0
324,10869,0
325,10903,0
326,10936,0
327,10970,0
328,11004,0
329,11038,0
330,11072,0
331,11105,0
332,11139,0
333,11173,0
334,11206,0
335,11239,0
336,11272,0
337,11306,0
338,11340,0
339,11373,0
340,11407,0
341,11441,0
342,11475,0
343,11509,0
344,11542,0
345,11576,0
346,11609,0
347,11642,0
348,11676,0
349,11709,0
350,11744,0
351,11777,0
352,11810,0
353,11844,0
354,11878,0
355,11911,0
356,11945,0
357,11978,0
358,12011,0
359,12044,0
360,12079,0
361,12112,0
362,12146,0
363,12180,0
364,12212,0
365,12246,0
366,12280,0
367,12313,0
368,12346,0
369,12380,0
370,12414,0
371,12447,0
372,12481,0
373,12514,0
374,12548,0
375,12581,0
376,12614,0
377,12648,0
378,12682,0
379,12715,0
380,12749,0
381,12782,0
382,12816,0
383,12849,0
384,12883,0
385,12916,0
386,12950,0
387,12984,0
388,13017,0
389,13050,0
390,13084,0
391,13119,0
392,13152,0
393,13185,0
394,13219,0
395,13253,0
396,13286,0
397,13319,0
398,13353,0
399,13387,0
400,13421,0
401,13454,0
402,13488,0
403,13522,0
404,13554,0
405,13589,0
406,13622,0
407,13656,0
408,13689,0
409,13723,0
410,13757,0
411,13791,0
412,13824,0
413,13857,0
414,13892,0
415,13925,0
416,13959,0
417,13992,0
418,14026,0
419,14060,0
420,14094,0
421,14127,0
422,14160,0
423,14193,0
424,14228,0
425,14261,0
426,14294,0
427,14328,0
428,14362,0
429,14396,0
430,14429,0
431,14462,0
432,14498,0
433,14531,0
434,14565,0
435,14597,0
436,14630,0
437,14663,0
438,14697,0
439,14731,0
440,14765,0
441,14798,0
442,14831,0
443,14865,0
444,14899,0
445,14932,0
446,14965,0
447,14998,0
448,15032,0
449,15066,0
450,15099,0
451,15133,0
452,15167,0
453,15200,0
454,15233,0
455,15267,0
456,15301,0
457,15335,0
458,15367,0
459,15401,0
460,15434,0
461,15469,0
462,15502,0
463,15535,0
464,15569,0
465,15603,0
466,15636,0
467,15670,0
468,15703,0
469,15737,0
470,15771,0
471,15804,0
472,15838,0
473,15871,0
474,15904,0
475,15938,0
476,15972,0
477,16005,0
478,16039,0
479,16072,0
480,16107,0
481,16140,0
482,16174,0
483,16207,0
484,16241,0
485,16275,0
486,16308,0
487,16342,0
488,16376,0
489,16409,0
490,16443,0
491,16477,0
492,16510,0
493,16543,0
494,16577,0
495,16613,0
496,16644,0
497,16678,0
498,16711,0
499,16745,0
500,16779,0
501,16813,0
502,16846,0
503,16880,0
504,16913,0
505,16947,0
506,16981,0
507,17014,0
508,17048,0
509,17081,0
510,17115,0
511,17150,0
512,17183,0
513,17215,0
514,17249,0
515,17282,0
516,17316,0
517,17349,0
518,17383,0
519,17417,0
520,17451,0
521,17484,0
522,17517,0
523,17551,0
524,17584,0
525,17617,0
526,17651,0
527,17684,0
528,17718,0
529,17752,0
530,17785,0
531,17819,0
532,17852,0
533,17885,0
534,17919,0
535,17953,0
536,17986,0
537,18020,0
538,18054,0
539,18087,0
540,18121,0
541,18154,0
542,18188,0
543,18222,0
544,18255,0
545,18288,0
546,18322,0
547,18355,0
548,18389,0
549,18422,0
550,18456,0
551,18490,0
552,18524,0
553,18557,0
554,18591,0
555,18624,0
556,18657,0
557,18692,0
558,18725,0
559,18758,0
560,18792,0
561,18826,0
562,18860,0
563,18893,0
564,18926,0
565,18961,0
566,18994,0
567,19027,0
568,19061,0
569,19096,0
570,19129,0
571,19163,0
572,19195,0
573,19229,0
574,19263,0
575,19297,0
576,19331,0
577,19364,0
578,19397,0
579,19431,0
580,19465,0
581,19498,0
582,19532,0
583,19566,0
584,19599,0
585,19633,0
586,19666,0
587,19700,0
588,19734,0
589,19767,0
590,19800,0
591,19835,0
592,19868,0
593,19902,0
594,19935,0
595,19969,0
596,20002,0
597,20037,0
598,20070,0
599,20102,0
600,20137,0
601,20171,0
602,20203,0
603,20236,0
604,20271,0
605,20303,0
606,20337,0
607,20370,0
608,20405,0
609,20438,0
610,20471,0
611,20505,0
612,20538,0
613,20572,0
614,20605,0
615,20638,0
616,20673,0
617,20706,0
618,20739,0
619,20773,0
620,20807,0
621,20840,0
622,20874,0
623,20907,0
624,20941,0
625,20974,0
626,21008,0
627,21042,0
628,21075,0
629,21108,0
630,21142,0
631,21176,0
632,21209,0
633,21243,0
634,21277,0
635,21310,0
636,21344,0
637,21378,0
638,21411,0
639,21444,0
640,21478,0
641,21511,0
642,21545,0
643,21579,0
644,21612,0
645,21647,0
646,21680,0
647,21713,0
648,21746,0
649,21781,0
650,21815,0
651,21848,0
652,21882,0
653,21915,0
654,21949,0
655,21983,0
656,22017,0
657,22050,0
658,22084,0
659,22117,0
660,22150,0
661,22184,0
662,22217,0
663,22251,0
664,22285,0
665,22318,0
666,22352,0
667,22386,0
668,22420,0
669,22452,0
670,22487,0
671,22520,0
672,22554,0
673,22588,0
674,22621,0
675,22654,0
676,22688,0
677,22722,0
678,22756,0
679,22788,0
680,22822,0
681,22855,0
682,22889,0
683,22923,0
684,22956,0
685,22990,0
686,23023,0
687,23057,0
688,23090,0
689,23123,0
690,23157,0
691,23191,0
692,23224,0
693,23258,0
694,23291,0
695,23324,0
696,23358,0
697,23392,0
698,23426,0
699,23459,0
700,23492,0
701,23526,0
702,23559,0
703,23593,0
704,23627,0
705,23660,0
706,23694,0
707,23728,0
708,23761,0
709,23795,0
710,23828,0
711,23861,0
712,23895,0
713,23929,0
714,23963,0
715,23996,0
716,24030,0
717,24063,0
718,24097,0
719,24130,0
720,24164,0
721,24198,0
722,24231,0
723,24265,0
724,24299,0
725,24332,0
726,24366,0
727,24399,0
728,24433,0
729,24467,0
730,24500,0
731,24534,0
732,24567,0
733,24601,0
734,24635,0
735,24669,0
736,24702,0
737,24736,0
738,24769,0
739,24804,0
740,24837,0
741,24871,0
742,24903,0
743,24937,0
744,24970,0
745,25004,0
746,25038,0
747,25072,0
748,25106,0
749,25139,0
750,25173,0
751,25207,0
752,25240,0
753,25274,0
754,25307,0
755,25340,0
756,25374,0
757,25407,0
758,25442,0
759,25475,0
760,25509,0
761,25542,0
762,25575,0
763,25609,0
764,25642,0
765,25675,0
766,25709,0
767,25742,0
768,25776,0
769,25810,0
770,25843,0
771,25877,0
772,25910,0
773,25944,0
774,25977,0
775,26011,0
776,26044,0
777,26077,0
778,26111,0
779,26146,0
780,26178,0
781,26212,0
782,26246,0
