uidA,uidB,dist
0,9,1.8330509206252876
1,38,1.9165388675084436
2,225,9.726747206835958
3,122,2.1517936114390124
4,39,1.349221277021953
5,1,2.5485426125424726
6,10,2.9293249804517836
8,149,4.886932488520094
9,2,4.484749704077184
10,157,5.8194592341157305
12,62,1.7196336945077995
13,11,2.534483474277499
14,21,2.413403145100235
16,13,3.4360993170155134
17,15,3.2829254299648256
18,58,0.6275899671621017
19,205,5.424061660952982
20,3,2.357806911312454
21,19,5.058834442152282
22,31,2.3045074575782216
23,119,1.839626250055126
24,7,3.440227900577753
25,18,0.6551335003940703
26,69,1.6896436946443545
28,17,1.687832449723177
29,0,1.380952262001126
31,59,2.434538024867664
32,112,6.454804530895619
33,147,5.747166429266373
34,51,3.0436360352222906
35,116,0.9758294646137762
39,42,0.22387137861574205
42,61,7.8344517874451425
43,54,1.3932004398168527
44,240,6.403941021001436
45,34,6.754711907304081
46,24,1.2025421099153275
48,301,9.397151457880941
49,76,1.0903450671083248
52,81,3.7854793739719677
53,87,3.6181061519910895
55,95,0.21256068904157005
57,108,3.639313487680229
62,275,1.6552347009566275
63,148,1.2975195642422954
64,161,0.903934330452962
66,166,2.312252338344986
68,216,1.8318486876707916
69,201,0.7629636414289341
70,185,1.7607532548315403
72,250,7.936127777239725
73,209,1.019959368807046
74,211,1.6715397334359248
75,215,0.8985141685501707
77,26,3.335528311366397
78,236,8.686235193866509
79,70,5.715562795679534
80,43,2.358138229760427
82,37,0.9813737142516674
84,221,7.301921628580908
85,323,6.478618279339005
86,92,2.0459751150138588
89,129,1.053022484422657
94,175,1.6073402339747889
95,224,3.042551838860229
96,223,1.8728165035360436
97,217,1.7381556806147311
100,219,2.209095848716666
101,162,0.3129559371945352
102,178,0.6126423902187154
103,300,5.563428928609643
104,196,2.214480997417106
105,79,2.7976970729355948
107,150,1.9971851383624164
108,156,1.8376007971431791
109,173,1.7883892056038473
110,184,2.414043740782404
111,202,1.4158184319811788
114,228,2.2518172601450024
115,330,9.320357746494642
118,235,1.7100142174321302
119,230,9.516454057338553
120,188,5.516323611562994
121,243,1.9719160164814031
125,252,4.051202810626306
127,190,5.750440523338686
128,281,0.8642636814661458
135,296,1.976579561324688
136,298,1.6747217202449645
137,299,1.809406454381248
138,309,3.4537245765768527
139,27,2.548645083157843
140,99,0.3666466395497855
141,125,0.7911790438450312
142,130,1.556888495979061
143,138,1.5164451438430042
145,182,3.9307783907256297
146,179,4.951785134836885
147,84,5.679296630881596
150,237,5.1526062713054595
151,246,0.3194160771473237
152,253,1.2002410600056488
153,257,1.2277006320782007
155,263,2.079123036332681
157,272,3.646069438659736
158,259,1.4154633098179514
159,134,0.9497331732404957
161,280,2.347681735215601
164,164,4.2255418042365696
166,293,1.6944138984992443
167,292,1.8291416774918183
170,314,4.394888438412119
171,312,2.3984538381908487
173,317,3.0020556568613705
174,121,2.0162836384791865
175,322,2.922286395372261
176,329,0.7819033646956073
177,331,3.522289583250836
179,144,6.81349689609421
181,56,5.094875238837071
188,220,8.893608099490763
190,135,5.311925169594494
192,168,1.5638146096017478
193,313,3.2873593659835927
194,319,2.633469175421439
201,267,2.98158948543287
202,332,0.27833711103925757
204,75,6.120302756350095
212,100,7.663940534317095
214,283,9.264364861170037
216,212,5.90594565944432
217,204,7.966209369197152
218,102,2.6523101431215097
222,23,9.359504424307211
227,85,2.550214655667872
230,326,7.565567129226016
231,265,1.4492595921216096
232,207,4.027970995584728
235,33,4.516340917382409
239,248,2.6660861905529583
241,335,6.695469911071497
244,176,4.601659645898231
253,169,9.311113040148456
256,172,7.775287225637356
262,291,2.537260858163968
264,218,5.242968920025202
268,336,6.6667431658985326
269,49,5.659422868905395
270,183,6.987239100383254
281,71,5.301497601284079
285,181,9.169061861817521
288,159,4.1007807457663
289,109,2.866440888511729
295,284,7.588798964971233
297,199,4.502167955351941
300,273,1.008924530668402
301,93,6.540525384310868
305,305,5.645443194915067
306,67,1.0496913841546895
307,325,2.063870392433778
319,197,7.906424838064856
321,103,3.0371089851793895
322,238,7.806093100708476
324,114,1.575410844613704
329,206,3.35636625651223
330,137,2.5352638960703393
331,282,8.243039389850727
333,72,8.470295946825686
342,297,2.746746712639356
349,97,3.6335906507638587
355,327,4.780772210957232
357,41,4.224559693533217
367,222,5.858382536455141
371,241,1.4180021938223533
372,262,2.046528575969855
373,249,1.5205400734268812
377,146,5.717225750950259
381,158,2.4639238223132196
388,277,7.965268531121201
