uidA,uidB,dist
0,49,4.58984833900123
1,1,4.8040977391117625
2,2,3.0336876169175624
4,67,1.2389840191604666
5,17,3.1668029032259897
6,9,2.032452433916759
7,20,1.6585006518051673
8,10,4.764282983946415
9,64,0.3358939185932693
10,55,0.2599691458219401
11,5,1.9449516925048875
12,50,5.188218143149798
14,24,0.48076286243325356
15,60,3.366076744181357
16,47,1.839977415698821
17,18,3.9456627245761546
18,11,6.512371758550677
19,62,2.143741976042404
20,61,8.14237895638055
21,65,1.504781477141303
22,26,3.5138977674988365
23,30,2.6475443495879336
24,14,5.978645483346713
26,32,3.0589006704419557
27,0,1.7648932219412654
28,19,2.302964249042395
30,16,1.337870429865922
31,7,3.5560274068579893
32,6,0.910087693142862
33,21,6.341938437487545
34,39,2.1739040433062184
35,27,2.0645903509085293
36,13,2.6298568865441863
38,56,3.5895487458738855
39,15,3.606245460002315
40,63,2.4923387410005837
42,42,7.7349981324672825
43,54,9.954901859856218
44,35,3.3047453323398988
45,33,2.813695066334822
47,3,4.974255193532601
50,38,6.413198938619848
53,29,1.706208680278758
54,23,0.6876899126669527
55,46,2.20387707735001
58,4,3.1488613262321
59,37,2.236465155521301
61,36,1.6151023153816197
62,52,0.4352430303392145
63,8,3.1144655484544512
69,28,2.095207431107669
79,41,9.429374126404884
81,40,1.3209913779839617
95,34,4.706794792421936
96,45,6.880503771641009
97,59,4.403885646418833
