uidA,uidB,dist
0,38,2.0173550128734945
1,12,1.956138606175539
2,54,4.013400960892236
3,94,1.5912959771164246
4,55,1.7477576358336369
5,0,2.292439039230058
6,37,0.9965147431150694
7,75,1.0686548902492596
8,82,1.8019490582589643
9,45,3.2058952267647536
10,46,2.170569648420518
11,121,1.361250104243264
12,53,5.876213824231277
13,28,3.482974424450069
14,49,1.591283370095976
15,8,3.7896066492552225
16,22,0.287425360650525
17,47,0.28698181582928556
18,32,2.569244075202092
19,87,7.464524891496521
20,70,2.826381675409005
21,36,1.9320281725974842
22,20,3.801191296739613
23,69,2.14822625440583
24,11,1.0933878206131527
25,107,1.3873581847069778
26,116,3.9650628985527328
27,14,4.671758113325917
28,78,2.6339143712541033
29,40,2.2770628052598125
30,80,9.401971837927526
31,2,3.3075834888901605
32,98,0.38495704819401144
33,85,1.3665426207516933
34,19,5.550906903976306
35,118,2.169918026421339
36,16,1.087144672890881
37,39,3.2885927777492188
38,93,3.837767351723845
39,1,1.374835707993724
40,57,7.597301748036337
41,3,3.797125069146969
42,109,2.0644839197245823
43,15,0.8597407941502652
44,77,3.9752181758132594
45,122,4.160599957891921
46,6,0.7105894800783488
47,23,4.270379556631931
48,24,1.170400151795391
49,25,3.3173045129958387
50,96,1.6153923552012754
51,62,9.786724911458572
52,26,3.6611379207984553
53,66,7.891886597027777
54,31,4.200287169775822
55,50,5.650203712279411
56,89,3.7521928512536524
57,10,8.702496018424247
59,43,5.335101620903493
60,67,3.7432024706177387
61,68,1.5916061132973691
62,21,9.617238777267772
64,124,3.286883528347353
66,72,2.827941166714714
67,48,2.2471272932250512
68,71,2.1209146846301494
69,60,9.179242271673592
71,51,3.0856683487654673
73,35,8.079965842316783
75,88,5.099175338396743
76,7,4.458733704709879
77,4,9.966259836061127
78,117,2.678466250284803
79,29,2.9451284206537616
80,95,4.780189635436459
81,17,2.4952766861096323
82,120,2.6655603803085697
85,56,4.571366047888218
86,91,6.1081107963906724
88,74,1.4974695396635875
89,81,3.908272714753542
92,59,0.9190379441232315
94,100,3.006454804791887
95,103,5.386355854999956
97,110,4.529419388389101
98,83,9.945785934820035
100,18,3.4654396500762084
101,102,2.340045857568063
102,61,5.046476052195004
103,90,6.492995084736066
104,123,2.546392759545768
105,108,4.449564022816827
106,101,3.108749468134305
107,65,1.8242239817642734
110,27,1.6507612509790486
113,33,7.055360720830035
118,34,8.986291744779264
