uidA,uidB,dist
0,8,4.094971259897164
1,91,1.0984132399527868
2,65,4.227181570462972
3,94,1.4757623679253566
4,103,4.9899972349355615
5,0,2.848081363413853
6,101,1.0591230740820599
7,110,2.401726388341861
8,73,1.366180469525814
9,305,2.9270243342791797
10,49,1.718880299723075
11,15,0.6522561426335179
12,42,5.038601616312854
13,44,2.3938783685510487
14,117,2.10571368087507
15,168,1.0540149870014879
16,171,0.5070042857591652
17,105,3.6215455991414784
18,296,3.7950852969387014
19,41,2.63713138553856
20,159,1.5565739705808797
21,7,0.8120059325179184
22,90,2.4629481216078384
23,154,1.5580638383004253
24,281,3.6057895897494685
25,297,0.719111879830184
26,28,3.1378300014355354
27,36,2.2119949488757924
28,106,2.069893339176412
29,4,7.113715874240548
30,112,2.6402448034357713
31,104,2.6298914461079055
32,304,1.3225010435597493
33,46,2.1924106448207477
34,3,0.7914147858783027
35,306,0.9003474764699659
36,9,1.6122187829398007
37,10,2.6321613055682556
38,254,3.9860985297885154
39,276,5.010269138427003
40,13,3.172068274543409
41,17,0.39547404243981954
42,16,1.0140830925458135
43,21,2.7537634379171085
44,39,1.5187690056586578
45,43,2.95171301277275
46,45,1.7678407073617255
47,18,2.4666392733482136
48,50,1.8929134646181178
49,26,3.6532368027927804
50,300,1.1465654716862097
51,172,7.0985366964134125
52,64,4.107952779852103
53,71,0.6398345195691545
54,301,2.2951150991253604
55,77,1.2633583927171408
56,134,4.64481051465013
57,81,1.2149123739501353
58,89,1.2673320718985115
59,92,0.8069297820806381
60,166,7.112809241925983
61,226,9.019483776703483
62,98,4.85223955488852
63,68,4.431933884992489
64,291,0.5340847799129557
65,37,3.8751685257843427
66,95,4.1317308454336015
67,31,3.523847459205101
68,229,6.189094827208126
69,24,1.4269647064579443
70,188,8.592133229497682
71,299,2.3970191275926003
72,174,6.4056018661843765
73,66,2.4984348028801024
74,67,4.637978766931331
75,72,2.906716998754491
76,22,4.604398775919964
77,183,6.122637704518889
78,84,4.768070605047916
79,83,1.4242266843345706
80,194,5.958619275794877
81,150,5.905825690574338
82,76,2.6687181096915062
83,88,7.579751564364486
85,108,3.7844653639526764
86,113,5.317814002996086
87,272,3.784492534832037
88,273,3.687496740415849
89,109,2.690342932477455
90,206,5.817554388515702
91,115,1.6674012421574391
92,143,9.81738569484017
94,120,0.5502762433660272
95,57,3.680938170500532
96,38,3.2108146155998947
97,125,2.6728947933920044
99,129,3.5397234819748515
100,131,3.4629588953132826
101,14,2.928761547211182
102,270,0.3088688370022183
103,62,4.632275475721708
104,127,0.7961912999960068
106,217,3.486286560358911
107,116,0.7581138317854329
109,135,4.121026812134765
110,107,3.662117764529338
111,20,5.453528874589621
113,185,4.3627123665626915
114,124,1.7589688610306935
115,140,1.450907348801858
117,253,2.7891429798386134
118,32,3.3297229908017503
119,123,0.566094118312732
120,230,2.588693523058658
121,61,1.9156763782245325
122,70,6.05529734525292
123,146,7.362437281761082
124,99,2.881329103622745
125,286,2.41521283053257
126,145,1.233829594521882
127,235,4.259707369449197
128,199,1.8361018252936945
129,151,3.8745469435378945
130,153,4.2540335109777265
131,152,4.659070236655419
132,122,3.760177053830268
133,158,5.1116928658262175
135,160,3.7207596381138344
136,161,1.7341065804702378
137,243,2.168931561926001
138,162,3.486328955039575
139,114,1.3169235172796872
140,287,4.8921868774879975
141,163,1.0496232051796974
142,53,3.310476858129906
143,132,4.082782666207415
144,93,0.8107082599224661
145,33,4.390167361004107
146,167,2.4153050366160635
147,221,6.211199944253004
148,193,2.1022658314905236
149,139,2.1406860520394266
150,186,8.405090404764325
151,173,0.8308592677141801
152,6,3.758542816891974
153,223,2.8883416917359086
154,256,5.66034567265126
155,175,0.7529764411682591
157,177,1.8017882500651126
158,195,5.6098815015357015
159,211,3.6118679478760014
160,285,6.279463837614009
161,5,2.476006886806929
162,184,1.4073891194995316
163,40,3.5128852244773165
164,189,2.3861664677756185
165,179,3.2713419225628813
167,191,4.093353154517236
168,279,6.865564933842492
169,19,3.294688124057428
171,202,3.1729064788115586
173,181,8.871240043237897
174,197,1.435681253711819
175,1,1.9305235688436881
176,147,3.3996921463178453
177,228,6.4327486487385555
180,54,1.1930269588637001
183,214,1.881484512142614
184,35,4.530556837360763
185,298,4.714348612195273
186,12,1.8913617489008847
188,23,4.087624522438776
189,220,2.472291724371164
190,225,0.17028150808084655
191,180,6.370750806953102
193,237,4.891822290849398
194,262,2.351571852661218
196,111,4.647008306000002
197,232,3.235946063079939
200,245,9.852449613438017
202,239,2.991416164980871
203,216,7.7010315727572864
204,212,2.2961695209214716
205,79,1.2153545299419812
206,100,5.072292081873127
207,157,0.6453089575989743
208,155,0.9271813430044086
209,259,7.941155484211317
210,241,3.9407714505578637
211,249,3.4329200322339957
212,252,2.2735024313684833
213,278,6.511880101394038
214,257,8.08592937062566
216,219,3.175876066911487
217,227,3.9379779961164108
218,80,2.236790803344799
223,196,1.885557187823558
