uidA,uidB,dist
0,35,0.6029073228931847
1,212,0.9425575768727845
2,320,2.7753160737055174
3,215,0.7214280129964887
4,36,2.3581314233205237
5,266,0.11462562490804099
7,31,0.8628059483738731
8,24,1.69593344083056
9,256,2.530636941215274
11,40,0.7388798801190826
13,387,1.7514369483197996
14,250,2.906113741899232
15,262,1.7038645777850807
16,404,8.640732286187728
17,188,2.0450186520314535
19,411,1.9761855215594402
20,210,0.8807769323584383
22,341,2.549885898694626
23,237,1.0301542532415597
24,59,1.8824288553490307
25,63,2.929977657273151
26,231,1.0568106488250677
27,251,1.5191998493746486
28,161,0.9451652677217617
29,221,2.2072708081346404
30,47,3.196906041982325
31,346,1.4144880881387445
32,224,1.568803361457924
33,71,1.5030782895407329
34,347,0.5922975623141987
35,48,1.2002015347304062
36,317,2.6747603459751073
37,64,0.1654478285629566
38,214,3.163761678023246
39,338,0.625455880954988
40,211,1.7103064553450642
41,174,4.99455159571766
42,199,1.011795237331111
43,86,3.432375757330782
44,83,2.45888952732032
45,400,2.1003898796796276
46,354,5.299745937876028
47,82,1.5061948170886077
49,287,0.9897029806802367
50,326,1.9418055566194217
51,321,2.376493120337458
52,206,0.31396306814739344
53,87,1.0639470748312325
54,27,1.5482085430624704
55,342,2.3120857276427267
58,352,7.27207633794074
59,267,5.694191674199956
60,223,0.8589788449537497
61,38,1.0599285825231586
62,399,1.532192422063601
63,407,1.8614695394063452
64,2,0.6170969192117156
65,182,3.6308842378562525
68,92,1.8758061162516775
69,1,1.9866250942317085
70,310,3.5918886170049715
71,45,1.040220532895313
72,230,1.4850260864251656
73,94,1.6713083203617736
75,56,3.2265762709719294
77,44,7.989624154480676
78,242,8.433184069659584
80,85,0.8493618359045155
81,163,0.6781079554563331
82,382,9.239802327343
83,97,2.8603288448150734
85,292,2.9994952234734855
86,51,2.583672953974045
87,69,1.1350023495778199
88,72,2.256641079650696
89,301,0.7909088738255803
90,279,1.158968482682986
92,101,2.222621833516297
93,181,4.706042609347359
94,356,5.504372960093131
95,108,1.963330001055911
96,46,0.7749035279048087
97,309,5.164082973686725
98,119,7.9030678567644355
100,340,6.5707170565489195
101,62,3.4792683022461834
102,93,0.36145755559299053
103,75,1.8803762181271433
104,318,2.89962749635422
105,191,4.1854271992925245
106,28,3.648095405996205
108,363,3.871032821523236
109,327,1.7660962216066178
110,109,4.626154924369384
111,388,2.405892560323664
112,365,2.124478245375286
113,218,7.977440823640443
114,252,4.74538586983082
116,209,5.509908911658778
117,348,3.270042065138065
118,6,6.377524732588231
119,67,0.5627772667453371
120,3,4.282144521953093
121,142,1.9041916012425768
123,302,2.452871149973779
124,14,1.753602009141208
126,74,1.0845876854447092
127,233,1.9312327966903235
129,79,2.149426601659766
130,331,1.8924257922448156
131,386,0.4668616639008456
134,395,9.939226833312999
135,0,0.32753092142559703
136,135,8.234971583852921
137,261,3.4058431579634765
138,314,0.7483321781965974
140,90,1.3233880324490428
143,186,3.9322670293566544
144,349,0.5036379988858342
145,66,4.415787002769335
146,84,2.0554243766363554
147,12,4.5629005581684625
148,13,6.348092374290932
149,7,0.47650230771864055
151,117,1.897209118353797
152,359,3.0005636506139446
153,54,2.8665347404325683
154,170,2.4615138086074735
155,295,4.066447973053756
157,107,5.853892550760928
158,350,3.030686107520344
159,351,3.3030876512509737
161,406,1.0162606360759183
162,217,1.9732937989283108
163,355,0.6483508079434531
165,207,1.8950055809534063
166,30,2.9063216361787596
167,305,3.5686939699496394
168,204,2.9285573052688108
169,220,6.369035687929217
170,121,3.884470976657958
171,198,2.3954084169575367
172,98,5.899241218151548
173,264,1.2994266156931735
174,197,9.256599978758475
175,336,1.1633277191416451
176,402,1.4200202769146604
177,403,1.2832935038627808
178,219,6.096367764582161
180,303,1.038007347638726
181,415,3.0334103428898933
183,9,2.548150251347174
184,130,4.052795496343332
185,384,2.701529441169022
186,333,3.5588618604023377
187,255,2.93022791404432
189,235,3.0991183364743233
190,401,2.303537495164321
191,324,1.567194896879266
192,18,1.990350949322922
193,143,5.409455788585958
194,184,2.957845903111709
195,202,4.306431268967048
196,23,3.7082795170107503
197,192,3.2431278237969927
198,374,4.96669410950204
200,397,1.244635053158362
201,265,8.997871667390978
202,116,1.4276031062723058
203,120,6.415463341565872
204,269,0.7823681683923142
205,165,1.1450375024567183
206,126,1.496552061867286
207,339,4.1841275388257415
209,5,1.098737239066685
211,189,1.5107387964797647
213,76,2.5519761205677773
214,389,0.9582371679095535
215,39,3.9431318228415027
216,273,6.162933857187949
218,274,0.5897589589629374
219,42,3.3161393453994776
220,322,4.368142366940416
221,131,3.361447859108362
222,378,5.169077730426601
225,37,2.7109668131123823
226,10,4.701182929511956
227,73,6.7407850215552845
239,390,4.034592292747489
240,409,2.4301342691532515
241,243,9.976925369462089
242,91,3.729614907869301
244,343,1.4800975066098088
247,52,1.8483614579116927
255,134,1.9651988454855167
256,57,7.358170978858131
257,138,8.546804733160545
258,60,4.6309819617406465
260,238,0.39267229729781983
261,61,1.6576319495232033
262,257,2.2347655970199978
265,89,5.048889835067105
266,364,1.6312992580123715
267,70,0.24746213581811216
268,128,1.177576858569147
271,315,4.599616007450011
272,360,2.483946165408617
273,282,8.943333212102754
274,226,1.1543516679250032
275,78,1.2317245980437992
276,81,6.14229525310801
278,164,6.398489447135745
282,277,4.270330942068233
285,157,2.079776387354948
287,385,8.265269631985468
288,125,3.095847573610382
289,127,2.567277791864364
290,288,2.669706642481966
292,158,1.7284232118979066
296,155,9.603867973711827
298,357,1.1790906098124418
300,383,5.6369797820253895
303,229,1.768977808599568
306,177,3.34220195048378
307,20,7.168872513594873
308,96,2.4268049257210893
309,232,0.5419498549374049
311,196,7.157092898061892
312,104,1.2485114422591983
313,307,5.419925052417651
314,103,3.2349130448222274
315,367,2.3603378520593177
317,144,8.005272786173277
318,105,2.5169845056973306
319,106,2.8846808505414145
321,248,0.5126388997533772
326,68,1.8537660671377296
328,112,2.352535325063802
329,396,8.505509054872212
331,123,5.930643516155901
332,362,1.8551091331434029
334,102,3.7048074038028513
335,113,1.6084918383821591
336,245,1.3180625476631662
339,366,2.083209402921328
340,166,3.099152664433523
343,148,3.9039464020378967
344,173,5.442311152408867
345,146,2.3259097763074092
