pipeline,nps,duration,max_mem
CaImAn,2,77.9759126106898,69215.88671875
CaImAn,3,68.837062839667,74470.5703125
CaImAn,4,65.47688008944193,79816.11328125
CaImAn,5,64.84075057109197,82389.6875
CaImAn,6,61.58795080979665,84808.56640625
CaImAn,7,61.36993690331777,87639.84375
CaImAn,8,61.704767711957295,89891.9609375
CaImAn,9,60.895398374398546,92425.07421875
CaImAn,10,60.58170967499415,94651.171875
Minian,2,97.35749799013138,8513.18359375
Minian,3,70.38448634545009,11379.55078125
Minian,4,58.721501274903616,14942.7109375
Minian,5,53.13507652282715,18407.63671875
Minian,6,48.789500653743744,20620.015625
Minian,7,45.721118517716725,23224.1953125
Minian,8,43.225914132595065,27649.2578125
Minian,9,40.75802691380183,29688.84765625
Minian,10,39.76763682365417,32545.58984375
